COUNTRY.x,ISO3,MIGRATION,DESEMPLEO,CRI,PUBLIC_SERV,%POBLACIÓN,2019,P3:HUMAN RIGTHS,CPI 2019
Tanzania,TZA,-0.41,0.7,66.5,8.8,20,2.125,7.1,29
Trinidad and Tobago,TTO,-1.01,3.1,118,3.7,70.6,2.059,3.6,40
Tunisia,TUN,-1.33,3.4,118,4,666.999.983,2.013,4.5,39
Uganda,UGA,-3.26,1.9,42.17,7.8,14.7,2.193,8,28
Ukraine,UKR,-0.26,8.2,76.17,3.8,701.248.443,2.768,6.6,30
United Arab Emirates,ARE,-3.45,2.2,118,1.6,9.914.999.998,1.797,7.6,71
Uruguay,URY,-0.88,8.9,79.67,2.7,8.335.153.377,1.695,2.9,71
Uzbekistan,UZB,-1.78,5.8,118,4.4,704.000.024,2.056,7.9,25
Venezuela,VEN,13.88,5.1,118,8.3,61.6,2.673,9,16
Vietnam,VNM,-0.22,2,50.17,4.1,6.866.158.021,2.543,4.9,30
Zambia,ZMB,0.24,12.5,63.33,7.3,16.8,1.768,7.4,34
Zimbabwe,ZWE,-4.83,4.8,6.17,8.6,25.1,1.573,6.5,31
