ISO3,COUNTRY.x,MIGRATION,DESEMPLEO,CRI,PUBLIC_SERV, CORRUPCTION, HUMANRIGTHS,PEACEINDEX,% POBLATION,FOODINSEC,#OFPEOPLEWOELECT
GTM,Guatemala,-1.66,2.2,65.67,6.9,2.206,"7,3",26,44.40104984,1912.2,709893.3049
GTM,Guatemala,-1.66,2.2,65.67,6.9,2.206,"7,3",26,44.40104984,6935,709893.3049
HND,Honduras,-1.34,5.7,73.33,6.4,2.264,"6,9",26,39.38835219,1488,703715.7233
HND,Honduras,-1.34,5.7,73.33,6.4,2.264,"6,9",26,39.38835219,3793.4,703715.7233
HND,Honduras,-1.34,5.7,73.33,6.4,2.264,"6,9",26,39.38835219,1814.4,703715.7233
HRV,Croatia,-0.5,6.6,75.17,2.6,1.549,"3,2",47,79.07978368,135.7,0
HRV,Croatia,-0.5,6.6,75.17,2.6,1.549,"3,2",47,79.07978368,115,0
HRV,Croatia,-0.5,6.6,75.17,2.6,1.549,"3,2",47,79.07978368,273.8,0
HTI,Haiti,-1.88,13.9,58.33,9.2,2.044,"7,2",18,,,
HUN,Hungary,1.23,3.4,85.83,2.6,1.494,"5,3",44,80.37169361,529.7,0
HUN,Hungary,1.23,3.4,85.83,2.6,1.494,"5,3",44,80.37169361,1105.8,0
HUN,Hungary,1.23,3.4,85.83,2.6,1.494,"5,3",44,80.37169361,339.8,0
IDN,Indonesia,-0.71,3.6,24.83,5.3,1.737,"7,0",40,47.69064898,22601.5,3112194.021
IDN,Indonesia,-0.71,3.6,24.83,5.3,1.737,"7,0",40,47.69064898,15486.7,3112194.021
IDN,Indonesia,-0.71,3.6,24.83,5.3,1.737,"7,0",40,47.69064898,22421.1,3112194.021
IND,India,0.16,5.3,16.67,6.8,2.611,"5,6",41,,,
IRL,Ireland,3.79,4.9,104.5,1.4,1.326,"1,8",74,87.00005524,145,0
IRL,Ireland,3.79,4.9,104.5,1.4,1.326,"1,8",74,87.00005524,416.8,0
IRL,Ireland,3.79,4.9,104.5,1.4,1.326,"1,8",74,87.00005524,137.5,0
ISL,Iceland,2.89,3.5,88.83,1,1.094,"1,0",78,,,
ITA,Italy,3.02,9.9,43.5,3,1.677,"1,4",53,76.1,5180.7,0
ITA,Italy,3.02,9.9,43.5,3,1.677,"1,4",53,76.1,1908.2,0
ITA,Italy,3.02,9.9,43.5,3,1.677,"1,4",53,76.1,2480.8,0
JAM,Jamaica,-7.7,7.7,118,6.2,1.944,"5,6",43,,,
JOR,Jordan,-11.08,16.8,118,3.6,1.962,"7,4",48,,,
JPN,Japan,0.74,2.4,14.5,1.6,1.38,"3,2",73,92.73039781,1162.7,0
JPN,Japan,0.74,2.4,14.5,1.6,1.38,"3,2",73,92.73039781,1838.4,0
JPN,Japan,0.74,2.4,14.5,1.6,1.38,"3,2",73,92.73039781,3341.8,0
KHM,Cambodia,-2.7,0.1,75.83,7.6,1.928,"7,6",20,,,
KWT,Kuwait,-3.87,2.2,118,2,1.748,"7,3",40,99.54267645,483.5,0
KWT,Kuwait,-3.87,2.2,118,2,1.748,"7,3",40,99.54267645,276.1,0
KWT,Kuwait,-3.87,2.2,118,2,1.748,"7,3",40,99.54267645,107.5,0
LBR,Liberia,-2.74,3,89.5,8.7,1.841,"6,5",28,22,3566.2,3572229.095
LBR,Liberia,-2.74,3,89.5,8.7,1.841,"6,5",28,22,1105.4,3572229.095
LBR,Liberia,-2.74,3,89.5,8.7,1.841,"6,5",28,22,1158.6,3572229.095
LBY,Libya,-1.61,19.7,73.67,6.4,3.106,"9,1",18,,,
LTU,Lithuania,-4.54,6.3,118,2.9,1.65,"2,7",60,81.58186838,449.4,0
LTU,Lithuania,-4.54,6.3,118,2.9,1.65,"2,7",60,81.58186838,210.7,0
LTU,Lithuania,-4.54,6.3,118,2.9,1.65,"2,7",60,81.58186838,158.4,0
